# Single source for capabilities, group routes and generated hook/UI registration.
# group-id<TAB>home-section<TAB>group-title<TAB>section-id<TAB>section-title<TAB>provider-class
# 统一净化
qself-purify	appearance	统一净化	ads	广告	me.hd.hook.DisableGrowHalfLayer
qself-purify	appearance	统一净化	ads	广告	me.hd.hook.simplify.main.ui.titile.DisableThirdContainer
qself-purify	appearance	统一净化	ads	广告	me.hd.hook.simplify.main.ui.misc.RemoveCommentAd
qself-purify	appearance	统一净化	ads	广告	io.github.relimus.hook.HideQZoneAD
qself-purify	appearance	统一净化	ads	广告	cc.ioctl.hook.mini.HideMiniAppLoadingAd
qself-purify	appearance	统一净化	ads	广告	cc.ioctl.hook.ui.title.RemoveQbossAD
qself-purify	appearance	统一净化	entries	界面入口	cc.ioctl.hook.ui.main.HideMiniAppPullEntry
qself-purify	appearance	统一净化	entries	界面入口	cc.ioctl.hook.ui.title.RemoveDailySign
qself-purify	appearance	统一净化	entries	界面入口	sumicya.qself.feature.ui.RemoveCameraButton
qself-purify	appearance	统一净化	entries	界面入口	me.hd.hook.simplify.main.ui.titile.DisableChatsCardContainer
qself-purify	appearance	统一净化	entries	界面入口	me.hd.hook.simplify.chat.other.HideShortcutBar
qself-purify	appearance	统一净化	entries	界面入口	me.hd.hook.simplify.chat.goup.title.HideTroopSquare
qself-purify	appearance	统一净化	entries	界面入口	cc.ioctl.hook.troop.RemoveGroupApp
qself-purify	appearance	统一净化	entries	界面入口	cc.ioctl.hook.troop.RemovePlayTogether
qself-purify	appearance	统一净化	entries	界面入口	cc.ioctl.hook.troop.HideListenTogetherPanel
qself-purify	appearance	统一净化	entries	界面入口	cc.ioctl.hook.troop.DisableFlingToTroopGuild
qself-purify	appearance	统一净化	entries	界面入口	me.singleneuron.hook.decorator.DisableQzoneSlideCamera
qself-purify	appearance	统一净化	decoration	装扮与提示	cc.ioctl.hook.chat.DefaultFont
qself-purify	appearance	统一净化	decoration	装扮与提示	cc.ioctl.hook.chat.DefaultBubbleHook
qself-purify	appearance	统一净化	decoration	装扮与提示	cc.ioctl.hook.ui.profile.DisableAvatarDecoration
qself-purify	appearance	统一净化	decoration	装扮与提示	cc.ioctl.hook.ui.profile.RemoveDiyCard
qself-purify	appearance	统一净化	decoration	装扮与提示	cc.ioctl.hook.troop.DisableColorNickName
qself-purify	appearance	统一净化	decoration	装扮与提示	me.hd.hook.simplify.chat.goup.other.HideEditTroopNick
qself-purify	appearance	统一净化	decoration	装扮与提示	me.hd.hook.simplify.chat.goup.other.RemoveRedPackSkin
qself-purify	appearance	统一净化	decoration	装扮与提示	me.hd.hook.simplify.chat.goup.other.HideJoinTroopBriefContent
qself-purify	appearance	统一净化	decoration	装扮与提示	xyz.nextalone.hook.HideChatVipImage
qself-purify	appearance	统一净化	decoration	装扮与提示	xyz.nextalone.hook.HideTroopLevel
qself-purify	appearance	统一净化	decoration	装扮与提示	xyz.nextalone.hook.HideRedPoints
qself-purify	appearance	统一净化	decoration	装扮与提示	xyz.nextalone.hook.HideProfileBubble
qself-purify	appearance	统一净化	effects	动画与互动	cc.hicore.hook.DisablePopOutEmoticon
qself-purify	appearance	统一净化	effects	动画与互动	cc.ioctl.hook.chat.DisableDropSticker
qself-purify	appearance	统一净化	effects	动画与互动	cc.ioctl.hook.chat.DisablePokeEffect
qself-purify	appearance	统一净化	effects	动画与互动	cc.ioctl.hook.chat.DisableShakeWindow
qself-purify	appearance	统一净化	effects	动画与互动	cc.ioctl.hook.chat.HideGiftAnim
